student_id,track,grade_level,academic_year,semester,gender,curriculum_relevance_rating,learning_pace_appropriateness,individual_support_availability,learning_style_accommodation,teaching_quality_rating,learning_environment_rating,peer_interaction_satisfaction,extracurricular_satisfaction,academic_progress_rating,skill_development_rating,critical_thinking_improvement,problem_solving_confidence,physical_safety_rating,psychological_safety_rating,bullying_prevention_effectiveness,emergency_preparedness_rating,mental_health_support_rating,stress_management_support,physical_health_support,overall_wellbeing_rating,overall_satisfaction,positive_aspects,improvement_suggestions,additional_comments,consent_given,ip_address,attendance_rate,grade_average,participation_score,extracurricular_hours,counseling_sessions,created_at,updated_at,learner_needs_index,satisfaction_score,success_index,safety_index,wellbeing_index
CSS-4681,CSS,12,2025-2026,2nd Semester,Male,3,4,4,4,4,3,3,3,4,3,3,3,3,4,4,4,3,4,4,3,4,Resources are adequate but not exceptional,The program meets basic expectations,Some areas need improvement,True,192.168.17.87,83.34,2.18,3,0,2,2025-10-25T15:10:03.956706,2025-10-25T15:10:03.956706,3.75,3.25,3.25,3.75,3.5
CSS-1514,CSS,11,2025-2026,1st Semester,Male,4,3,3,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,3,4,Average experience overall,Some areas need improvement,Some improvements needed in teaching methods,True,192.168.221.85,90.36,2.49,3,2,2,2025-09-20T15:10:03.956706,2025-09-20T15:10:03.956706,3.5,3.75,3.5,4.0,3.75
CSS-8749,CSS,11,2025-2026,2nd Semester,Male,3,3,3,3,4,3,3,4,3,4,3,3,4,4,4,4,4,3,3,4,4,Satisfactory learning environment,It's fine but could be more engaging,The program meets basic expectations,True,192.168.207.105,87.82,2.5,3,6,0,2025-07-01T15:10:03.956706,2025-07-01T15:10:03.956706,3.0,3.5,3.25,4.0,3.5
CSS-2612,CSS,12,2025-2026,1st Semester,Female,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,3,2,3,3,3,The program meets basic expectations,Feel overwhelmed and unsupported,Feel overwhelmed and unsupported,True,192.168.16.104,84.76,1.93,3,10,0,2025-05-26T15:10:03.956706,2025-05-26T15:10:03.956706,3.0,3.0,2.75,3.25,2.75
CSS-5092,CSS,12,2025-2026,1st Semester,Male,3,3,3,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4,3,3,4,The program meets basic expectations,The program meets basic expectations,Learning pace is okay but could be better,True,192.168.224.237,88.26,2.2,3,2,1,2025-07-04T15:10:03.956706,2025-07-04T15:10:03.956706,3.25,3.75,3.5,4.0,3.5
CSS-8886,CSS,11,2025-2026,1st Semester,Male,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,Very satisfied with the overall learning experience,The curriculum could be more relevant to real-world applications,I feel supported in my learning journey,True,192.168.55.222,88.31,3.1,4,12,0,2025-09-19T15:10:03.956706,2025-09-19T15:10:03.956706,4.0,4.0,4.0,4.5,4.0
CSS-8973,CSS,12,2025-2026,2nd Semester,Female,4,4,4,4,3,3,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,It's fine but could be more engaging,Satisfactory learning environment,Satisfactory learning environment,True,192.168.40.49,86.46,2.48,3,9,0,2025-06-13T15:10:03.956706,2025-06-13T15:10:03.956706,4.0,3.25,3.5,4.0,4.0
CSS-9238,CSS,11,2025-2026,1st Semester,Female,4,4,3,3,4,4,4,4,3,3,4,3,4,4,4,4,4,4,3,4,4,The program meets basic expectations,Some areas need improvement,Some areas need improvement,True,192.168.236.219,89.35,2.22,3,16,0,2025-05-16T15:10:03.956706,2025-05-16T15:10:03.956706,3.5,4.0,3.25,4.0,3.75
CSS-5033,CSS,11,2025-2026,1st Semester,Male,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,I feel supported in my learning journey,Some improvements needed in teaching methods,I feel supported in my learning journey,True,192.168.149.153,94.98,3.55,4,1,2,2025-05-16T15:10:03.956706,2025-05-16T15:10:03.956706,5.0,4.75,4.75,5.0,5.0
CSS-6147,CSS,12,2025-2026,2nd Semester,Male,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,"Some good points, some areas for improvement","Some good points, some areas for improvement",The program meets basic expectations,True,192.168.62.68,86.95,2.69,3,12,0,2025-05-22T15:10:03.956706,2025-05-22T15:10:03.956706,4.0,3.75,3.75,4.0,3.75
CSS-2638,CSS,11,2025-2026,2nd Semester,Female,4,4,3,3,3,4,4,4,3,3,3,3,4,4,4,4,3,4,4,3,4,Satisfactory learning environment,Satisfactory learning environment,Some improvements needed in teaching methods,True,192.168.19.138,86.47,2.32,3,6,2,2025-10-20T15:10:03.956706,2025-10-20T15:10:03.956706,3.5,3.75,3.0,4.0,3.5
CSS-9900,CSS,12,2025-2026,2nd Semester,Male,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,Love the hands-on learning approach,The curriculum could be more relevant to real-world applications,The curriculum is relevant and well-structured,True,192.168.181.78,94.18,2.92,4,19,2,2025-07-08T15:10:03.956706,2025-07-08T15:10:03.956706,4.0,4.0,4.0,4.25,4.0
CSS-2753,CSS,11,2025-2026,2nd Semester,Male,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,4,4,4,4,4,Very satisfied with the overall learning experience,Learning pace is okay but could be better,I feel supported in my learning journey,True,192.168.191.142,92.98,3.0,4,4,1,2025-09-14T15:10:03.956706,2025-09-14T15:10:03.956706,4.0,4.0,4.0,4.75,4.0
CSS-1832,CSS,12,2025-2026,2nd Semester,Other,3,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,4,Some areas need improvement,It's fine but could be more engaging,Resources are adequate but not exceptional,True,192.168.24.163,80.86,2.58,3,13,1,2025-07-13T15:10:03.956706,2025-07-13T15:10:03.956706,3.5,3.5,4.0,4.0,3.0
CSS-2832,CSS,12,2025-2026,2nd Semester,Female,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,Great learning environment and helpful instructors,Learning pace is okay but could be better,Great learning environment and helpful instructors,True,192.168.20.242,88.28,3.05,4,4,2,2025-05-13T15:10:03.956706,2025-05-13T15:10:03.956706,4.0,4.0,4.0,4.25,4.0
CSS-6974,CSS,12,2025-2026,1st Semester,Male,2,2,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,"Some good points, some areas for improvement",Not satisfied with the learning environment,Not enough practical hands-on experience,True,192.168.231.239,80.69,1.77,2,1,2,2025-05-11T15:10:03.956706,2025-05-11T15:10:03.956706,2.25,2.75,2.75,3.0,2.75
CSS-4878,CSS,12,2025-2026,1st Semester,Other,3,3,2,2,3,2,3,2,3,3,2,3,3,3,4,3,3,2,3,3,3,"Some good points, some areas for improvement",The learning pace is too fast for me,Teaching methods need significant improvement,True,192.168.222.42,77.71,1.61,2,5,3,2025-06-24T15:10:03.956706,2025-06-24T15:10:03.956706,2.5,2.5,2.75,3.25,2.75
CSS-2771,CSS,12,2025-2026,1st Semester,Female,3,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,Some areas need improvement,The program meets basic expectations,Average experience overall,True,192.168.98.224,83.34,2.7,3,1,1,2025-05-08T15:10:03.956706,2025-05-08T15:10:03.956706,3.75,3.5,3.75,4.0,3.75
CSS-4164,CSS,11,2025-2026,1st Semester,Male,4,3,3,4,3,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,4,Satisfactory learning environment,Satisfactory learning environment,Resources are adequate but not exceptional,True,192.168.103.85,84.58,2.83,3,8,0,2025-06-27T15:10:03.956706,2025-06-27T15:10:03.956706,3.5,3.5,3.75,4.0,3.5
CSS-5279,CSS,12,2025-2026,1st Semester,Male,3,3,3,4,3,4,4,4,3,4,3,4,4,4,4,4,3,4,4,4,4,The program meets basic expectations,The program meets basic expectations,The program meets basic expectations,True,192.168.46.149,87.69,2.52,3,8,0,2025-07-12T15:10:03.956706,2025-07-12T15:10:03.956706,3.25,3.75,3.5,4.0,3.75
CSS-4114,CSS,11,2025-2026,2nd Semester,Female,3,3,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4,3,4,4,Some areas need improvement,Satisfactory learning environment,It's fine but could be more engaging,True,192.168.66.12,86.07,2.39,3,13,0,2025-05-29T15:10:03.956706,2025-05-29T15:10:03.956706,3.5,3.5,3.75,4.0,3.75
CSS-6409,CSS,12,2025-2026,1st Semester,Other,3,3,2,2,3,3,2,3,3,2,2,2,2,2,3,2,2,2,2,3,2,"Some good points, some areas for improvement",Curriculum feels outdated and irrelevant,Teaching methods need significant improvement,True,192.168.160.81,73.71,1.26,2,3,5,2025-09-12T15:10:03.956706,2025-09-12T15:10:03.956706,2.5,2.75,2.25,2.25,2.25
CSS-7211,CSS,12,2025-2026,1st Semester,Male,4,3,4,3,3,4,3,4,3,4,4,3,4,4,4,4,3,3,4,4,4,It's fine but could be more engaging,Satisfactory learning environment,It's fine but could be more engaging,True,192.168.174.192,85.95,2.23,3,5,2,2025-07-17T15:10:03.956706,2025-07-17T15:10:03.956706,3.5,3.5,3.5,4.0,3.5
CSS-6279,CSS,12,2025-2026,1st Semester,Male,3,4,3,3,3,4,4,3,4,4,4,3,4,4,4,4,4,4,3,3,4,The program meets basic expectations,Some areas need improvement,Resources are adequate but not exceptional,True,192.168.120.114,84.44,2.51,3,14,2,2025-09-24T15:10:03.956706,2025-09-24T15:10:03.956706,3.25,3.5,3.75,4.0,3.5
CSS-4848,CSS,12,2025-2026,1st Semester,Female,3,4,4,3,3,3,4,3,3,4,3,4,4,4,4,4,4,4,3,4,4,Learning pace is okay but could be better,Some areas need improvement,Resources are adequate but not exceptional,True,192.168.173.80,79.8,2.37,3,7,0,2025-06-25T15:10:03.956706,2025-06-25T15:10:03.956706,3.5,3.25,3.5,4.0,3.75
CSS-4185,CSS,11,2025-2026,2nd Semester,Male,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,The curriculum is relevant and well-structured,Average experience overall,Good balance between theory and practical work,True,192.168.184.179,94.64,3.03,4,12,1,2025-06-08T15:10:03.956706,2025-06-08T15:10:03.956706,4.0,4.0,4.0,4.25,4.0
CSS-9486,CSS,11,2025-2026,1st Semester,Female,4,4,4,3,3,3,4,4,3,3,4,4,4,4,4,3,4,3,4,3,4,The curriculum could be more relevant to real-world applications,Some areas need improvement,It's fine but could be more engaging,True,192.168.119.13,84.04,2.61,3,17,0,2025-08-12T15:10:03.956706,2025-08-12T15:10:03.956706,3.75,3.5,3.5,3.75,3.5
CSS-9270,CSS,12,2025-2026,2nd Semester,Female,3,3,3,4,4,4,4,4,3,4,3,3,4,3,4,4,3,4,3,3,4,Satisfactory learning environment,"Some good points, some areas for improvement",The program meets basic expectations,True,192.168.110.213,84.89,2.42,3,17,1,2025-06-02T15:10:03.956706,2025-06-02T15:10:03.956706,3.25,4.0,3.25,3.75,3.25
CSS-9540,CSS,11,2025-2026,2nd Semester,Female,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,3,2,3,3,3,3,The program meets basic expectations,Resources and facilities need upgrading,Limited support for struggling students,True,192.168.125.161,77.1,1.52,2,7,2,2025-06-11T15:10:03.956706,2025-06-11T15:10:03.956706,3.0,2.5,2.5,3.0,2.75
CSS-2320,CSS,12,2025-2026,2nd Semester,Female,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,Teachers are very supportive and understanding,Some improvements needed in teaching methods,Teachers are very supportive and understanding,True,192.168.36.39,88.71,3.42,4,7,1,2025-08-22T15:10:03.956706,2025-08-22T15:10:03.956706,4.0,4.0,4.0,5.0,4.0
CSS-7812,CSS,12,2025-2026,2nd Semester,Female,3,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,3,4,3,4,Average experience overall,Some areas need improvement,It's fine but could be more engaging,True,192.168.16.53,81.71,2.61,3,13,1,2025-10-26T15:10:03.956706,2025-10-26T15:10:03.956706,3.5,3.75,3.75,4.0,3.5
CSS-5892,CSS,12,2025-2026,1st Semester,Other,2,2,2,2,2,3,2,2,3,2,2,2,3,2,3,2,3,3,3,2,2,Satisfactory learning environment,Need better mental health support services,Feel overwhelmed and unsupported,True,192.168.193.100,75.67,1.06,2,13,4,2025-09-28T15:10:03.956706,2025-09-28T15:10:03.956706,2.0,2.25,2.25,2.5,2.75
CSS-7371,CSS,12,2025-2026,2nd Semester,Female,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3,4,3,3,3,2,3,Satisfactory learning environment,Resources and facilities need upgrading,Curriculum feels outdated and irrelevant,True,192.168.87.172,82.0,1.61,2,12,5,2025-09-18T15:10:03.956706,2025-09-18T15:10:03.956706,3.0,2.75,2.5,3.25,2.75
CSS-1444,CSS,11,2025-2026,2nd Semester,Female,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,Satisfactory learning environment,Need better mental health support services,Not satisfied with the learning environment,True,192.168.22.165,81.84,2.17,2,13,1,2025-06-13T15:10:03.956706,2025-06-13T15:10:03.956706,3.0,2.5,3.0,3.0,2.75
CSS-7211,CSS,11,2025-2026,2nd Semester,Male,3,3,4,4,3,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,Resources are adequate but not exceptional,The program meets basic expectations,Some areas need improvement,True,192.168.72.193,84.01,2.28,3,13,1,2025-08-28T15:10:03.956706,2025-08-28T15:10:03.956706,3.5,3.25,3.75,4.0,4.0
CSS-1659,CSS,11,2025-2026,1st Semester,Female,3,3,4,4,3,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,The program meets basic expectations,Some areas need improvement,Some areas need improvement,True,192.168.194.8,86.26,2.77,3,7,0,2025-05-22T15:10:03.956706,2025-05-22T15:10:03.956706,3.5,3.25,4.0,4.0,3.75
CSS-5198,CSS,11,2025-2026,1st Semester,Female,4,4,4,4,4,3,4,4,3,4,3,3,4,4,4,4,4,3,3,4,4,Average experience overall,It's fine but could be more engaging,Satisfactory learning environment,True,192.168.197.95,91.81,2.35,3,5,2,2025-05-07T15:10:03.956706,2025-05-07T15:10:03.956706,4.0,3.75,3.25,4.0,3.5
CSS-7149,CSS,11,2025-2026,1st Semester,Other,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,I feel supported in my learning journey,Some improvements needed in teaching methods,Teachers are very supportive and understanding,True,192.168.102.242,92.96,3.92,4,6,0,2025-10-04T15:10:03.956706,2025-10-04T15:10:03.956706,4.75,5.0,4.75,5.0,4.75
CSS-1672,CSS,12,2025-2026,1st Semester,Female,3,3,2,3,2,2,3,3,3,3,3,2,4,3,3,3,3,3,2,2,3,"Some good points, some areas for improvement",Curriculum feels outdated and irrelevant,The learning pace is too fast for me,True,192.168.89.137,76.3,1.89,2,13,5,2025-09-30T15:10:03.956706,2025-09-30T15:10:03.956706,2.75,2.5,2.75,3.25,2.5
CSS-6934,CSS,12,2025-2026,1st Semester,Male,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,Love the hands-on learning approach,The curriculum could be more relevant to real-world applications,Excellent facilities and resources available,True,192.168.163.229,95.44,3.36,4,14,2,2025-08-04T15:10:03.956706,2025-08-04T15:10:03.956706,4.0,4.0,4.0,4.25,4.0
CSS-5397,CSS,12,2025-2026,2nd Semester,Male,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4,4,3,4,3,4,The program meets basic expectations,Satisfactory learning environment,"Some good points, some areas for improvement",True,192.168.83.219,85.3,2.15,3,7,0,2025-06-10T15:10:03.956706,2025-06-10T15:10:03.956706,3.75,3.75,3.5,4.0,3.5
CSS-6325,CSS,12,2025-2026,2nd Semester,Male,2,2,2,2,2,3,3,2,2,2,2,3,2,2,3,3,2,2,2,2,2,Satisfactory learning environment,Resources and facilities need upgrading,Need better mental health support services,True,192.168.47.125,69.38,1.07,2,6,2,2025-07-12T15:10:03.956706,2025-07-12T15:10:03.956706,2.0,2.5,2.25,2.5,2.0
CSS-7658,CSS,11,2025-2026,1st Semester,Male,3,3,3,4,4,4,3,3,3,4,4,3,4,3,4,4,4,4,4,3,4,"Some good points, some areas for improvement",Satisfactory learning environment,The program meets basic expectations,True,192.168.126.143,87.9,2.18,3,7,2,2025-07-07T15:10:03.956706,2025-07-07T15:10:03.956706,3.25,3.5,3.5,3.75,3.75
CSS-4986,CSS,11,2025-2026,2nd Semester,Male,4,4,4,4,4,4,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,Satisfactory learning environment,The program meets basic expectations,The curriculum could be more relevant to real-world applications,True,192.168.79.170,80.78,2.57,3,18,1,2025-08-31T15:10:03.956706,2025-08-31T15:10:03.956706,4.0,3.5,3.25,4.0,4.0
CSS-5438,CSS,12,2025-2026,2nd Semester,Female,4,3,4,3,3,3,4,4,4,4,3,3,4,4,3,4,4,3,4,4,4,Some areas need improvement,The program meets basic expectations,The program meets basic expectations,True,192.168.79.65,87.98,2.69,3,7,0,2025-08-31T15:10:03.956706,2025-08-31T15:10:03.956706,3.5,3.5,3.5,3.75,3.75
CSS-9595,CSS,11,2025-2026,2nd Semester,Male,3,4,4,3,4,4,4,3,4,4,3,3,4,4,4,4,3,4,3,4,4,The program meets basic expectations,It's fine but could be more engaging,Average experience overall,True,192.168.153.73,83.59,2.54,3,3,0,2025-06-20T15:10:03.956706,2025-06-20T15:10:03.956706,3.5,3.75,3.5,4.0,3.5
CSS-1893,CSS,11,2025-2026,2nd Semester,Male,3,4,3,4,3,4,3,4,4,3,3,3,4,4,4,4,3,4,4,3,4,Learning pace is okay but could be better,Satisfactory learning environment,The curriculum could be more relevant to real-world applications,True,192.168.142.75,82.18,2.06,3,4,2,2025-07-16T15:10:03.956706,2025-07-16T15:10:03.956706,3.5,3.5,3.25,4.0,3.5
CSS-4020,CSS,12,2025-2026,2nd Semester,Male,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,The teaching quality is excellent and very engaging,Resources are adequate but not exceptional,Teachers are very supportive and understanding,True,192.168.248.14,96.62,3.36,4,8,1,2025-09-04T15:10:03.956706,2025-09-04T15:10:03.956706,4.0,4.0,4.0,4.25,4.0
CSS-5978,CSS,11,2025-2026,1st Semester,Male,3,3,3,3,3,3,3,2,2,3,3,2,3,4,3,3,3,3,2,3,3,The program meets basic expectations,Resources and facilities need upgrading,The learning pace is too fast for me,True,192.168.22.255,80.88,1.73,2,7,0,2025-05-31T15:10:03.956706,2025-05-31T15:10:03.956706,3.0,2.75,2.5,3.25,2.75
CSS-8253,CSS,11,2025-2026,2nd Semester,Female,3,3,3,3,2,3,3,3,2,3,3,3,3,3,4,3,3,3,3,3,3,"Some good points, some areas for improvement",Need better mental health support services,Need better mental health support services,True,192.168.77.221,79.42,1.9,2,18,3,2025-09-21T15:10:03.956706,2025-09-21T15:10:03.956706,3.0,2.75,2.75,3.25,3.0
CSS-2330,CSS,11,2025-2026,1st Semester,Male,3,3,4,4,4,4,3,4,3,4,3,3,4,4,4,4,3,3,3,3,4,The curriculum could be more relevant to real-world applications,"Some good points, some areas for improvement",Some improvements needed in teaching methods,True,192.168.41.62,82.73,2.27,3,5,2,2025-07-19T15:10:03.956706,2025-07-19T15:10:03.956706,3.5,3.75,3.25,4.0,3.0
CSS-5720,CSS,12,2025-2026,2nd Semester,Male,4,4,3,4,4,4,3,3,3,3,4,4,4,4,4,4,4,3,3,3,4,It's fine but could be more engaging,The program meets basic expectations,"Some good points, some areas for improvement",True,192.168.181.73,84.72,2.63,3,14,0,2025-05-21T15:10:03.956706,2025-05-21T15:10:03.956706,3.75,3.5,3.5,4.0,3.25
CSS-3441,CSS,12,2025-2026,1st Semester,Female,4,3,4,3,3,4,3,3,3,4,4,3,4,4,4,4,3,3,4,3,4,Resources are adequate but not exceptional,"Some good points, some areas for improvement",Average experience overall,True,192.168.233.69,83.25,2.56,3,4,0,2025-10-24T15:10:03.956706,2025-10-24T15:10:03.956706,3.5,3.25,3.5,4.0,3.25
CSS-5982,CSS,12,2025-2026,2nd Semester,Male,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,Resources are adequate but not exceptional,"Some good points, some areas for improvement","Some good points, some areas for improvement",True,192.168.180.104,87.81,2.73,3,8,2,2025-05-17T15:10:03.956706,2025-05-17T15:10:03.956706,3.75,3.75,4.0,4.0,3.5
CSS-1423,CSS,12,2025-2026,2nd Semester,Female,3,4,3,4,4,4,3,4,4,3,3,3,4,4,4,4,3,4,4,4,4,Some improvements needed in teaching methods,"Some good points, some areas for improvement",The curriculum could be more relevant to real-world applications,True,192.168.24.59,81.36,2.38,3,18,2,2025-09-17T15:10:03.956706,2025-09-17T15:10:03.956706,3.5,3.75,3.25,4.0,3.75
CSS-8245,CSS,11,2025-2026,2nd Semester,Female,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,4,5,4,5,5,Teachers are very supportive and understanding,Resources are adequate but not exceptional,The teaching quality is excellent and very engaging,True,192.168.235.72,93.84,3.64,4,5,2,2025-05-07T15:10:03.956706,2025-05-07T15:10:03.956706,5.0,4.75,4.5,5.0,4.5
CSS-2713,CSS,12,2025-2026,2nd Semester,Male,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,Satisfactory learning environment,Some areas need improvement,Satisfactory learning environment,True,192.168.220.42,85.98,2.54,3,10,1,2025-08-21T15:10:03.956706,2025-08-21T15:10:03.956706,3.5,4.0,3.75,4.0,3.75
CSS-6296,CSS,12,2025-2026,1st Semester,Male,4,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,4,It's fine but could be more engaging,"Some good points, some areas for improvement",The curriculum could be more relevant to real-world applications,True,192.168.30.249,83.88,2.67,3,12,2,2025-10-26T15:10:03.956706,2025-10-26T15:10:03.956706,3.25,4.0,3.75,4.0,3.0
